InsCode,Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J,QTotCap,ZTotTran,PriceYesterday,PDrCotVal
71483646978964608,ذوب,20211215,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211218,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211219,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211220,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211221,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211222,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211225,0,0,0,869.00,0,0.00,0,869,869.00
71483646978964608,ذوب,20211226,3149.26,3194,3120,3144.04,74715054,270344068711.00,2090,869,3132.75
71483646978964608,ذوب,20211227,3167.51,3300,3137,3285.69,220940055,835269163218.00,6849,3144,3300.47
71483646978964608,ذوب,20211228,3293.51,3341,3224,3291.78,70894531,268555627554.00,4236,3286,3276.13
71483646978964608,ذوب,20211229,3295.25,3337,3173,3247.46,51089874,190918050184.00,3307,3292,3181.41
71483646978964608,ذوب,20220101,3163.16,3200,3094,3147.52,47410194,171712691914.00,2502,3247,3163.16
71483646978964608,ذوب,20220102,3129.27,3180,3112,3140.57,28469600,102898166613.00,2235,3148,3134.49
71483646978964608,ذوب,20220103,3140.57,3213,3072,3120.58,29702980,106669035846.00,2192,3141,3084.95
71483646978964608,ذوب,20220104,3072.79,3085,2981,3036.29,64025629,223679415135.00,2349,3121,3037.16
71483646978964608,ذوب,20220105,2980.67,3050,2976,3018.91,19463382,67502871145.00,1685,3036,3006.74
71483646978964608,ذوب,20220108,2980.67,3063,2976,3013.69,29389525,101909487991.00,2272,3019,2978.07
71483646978964608,ذوب,20220109,2980.67,2982,2863,2878.13,63435343,210114571944.00,3605,3014,2863.36
71483646978964608,ذوب,20220110,2798.18,2863,2755,2812.96,39662985,128388877922.00,2413,2878,2825.99
71483646978964608,ذوب,20220111,2876.39,2896,2796,2835.55,27561646,89944517416.00,1772,2813,2824.25
71483646978964608,ذوب,20220112,2854.67,2872,2800,2843.37,32391929,105999867884.00,1885,2836,2862.49
71483646978964608,ذوب,20220115,2822.51,2850,2746,2800.79,19867990,63801585822.00,1743,2843,2763.42
71483646978964608,ذوب,20220116,2745.17,2800,2695,2731.27,23603195,74115360777.00,1856,2801,2746.04
71483646978964608,ذوب,20220117,2754.73,2776,2595,2622.64,72966314,220226484506.00,2844,2731,2594.84
71483646978964608,ذوب,20220118,2492.29,2492,2492,2492.29,25132249,72079290132.00,672,2623,2492.29
