InsCode,DEven,Idn,NumberOfShareNew,NumberOfShareOld
26787658273107220,20101218,82,2064984800,2064984846
26997316501080743,20090118,83,840000000,420000000
27221698970690062,20110906,84,426488,434186
28033133021443774,20101020,85,100000000,60000000
28062748588070885,20110124,86,2000000,74311126
28320293733348826,20110227,87,20163600000,16803000000
28520500657715290,20100830,88,1781550,4900000
28849950336645207,20110118,89,376284,359081
29747059672582491,20090225,90,271000000,135500000
30592968583865547,20110906,91,400968,434186
30650426998863332,20090114,92,200000000,154000000
30650426998863332,20100315,93,300000000,200000000
30829203706095076,20110726,94,1500000000,1312491600
30852391633490755,20110620,95,153000000,102000000
31024260997481994,20091111,96,20000000,10000000
31024260997481994,20110406,97,30000000,20000000
31892548539456357,20090621,98,79143750,45225000
31920617569703557,20090516,99,491082000,569600000
32257753560585502,20081206,100,120000000,90000000
33293588228706998,20100111,101,9000000000,7500000000
33293588228706998,20100127,102,7500000000,9000000000
33293588228706998,20100309,103,9000000000,7500000000
33293588228706998,20100907,104,11000000000,9000000000
33406621820337161,20110206,105,378000000,189000000
33931218652865616,20090225,106,850000000,571228824
34186024944625724,20110427,107,2000000000,700000000
34673681828119297,20100608,108,240000000,120000000
34673681828119297,20100613,109,120000000,240000000
34673681828119297,20100614,110,240000000,120000000
34890845654517313,20100427,111,140000000,70000000
35113075091643530,20100928,112,259700000,100000
35113075091643530,20101207,113,5560000,259700000
35113075091643530,20110305,114,1000000000,5560000
35158826900216508,20110613,115,10000000,5000000
35425587644337450,20110705,116,17368933800,5789644600
35700344742885862,20100711,117,3000000000,880000000
35700344742885862,20110626,118,6000000000,3000000000
37614886280396031,20090211,119,1750000000,1150000000
37614886280396031,20110418,120,3000000000,1750000000
38087994492605307,20110522,121,396507,346943
38417665293111458,20090721,122,24500000,10500000
38769769028973184,20110326,123,315000,5100000
39436183727126211,20110625,124,510300000,170100000
39436183727126211,20110627,125,170100000,510300000
39436183727126211,20110628,126,510300000,170100000
40505767672724777,20110501,127,1000000000,250000000
40808043719554948,20101229,128,1303000000,1303000
41935584690956944,20100801,129,143234409,106935409
43062880954780884,20101027,130,100000000,40000000
43256212620530446,20110703,131,50625000,10125000
43622578471330344,20090831,132,254004000,216000000
43622578471330344,20090927,133,254000000,254004000
43622578471330344,20100717,134,291000000,254000000
43638198413087069,20110906,135,359306,359081
44818950263583523,20110625,136,4000000000,2000000000
45050389997905274,20090114,137,2000000000,1500000000
45050389997905274,20100725,138,3000000000,2000000000
45050389997905274,20110528,139,4000000000,3000000000
45174198424472334,20091124,140,600000000,450000000
45358789705522696,20110124,141,7215000,588000000
45446499784751546,20101122,142,800000000,40000000
45895339414786358,20090705,143,145705000,104075000
46305227678799659,20110327,144,380833,386808
46348559193224090,20110214,145,25800000000,15800000000
46741025610365786,20110806,146,400000000,200000000
46752599569017089,20110608,147,1500000000,300000000
46982154647719707,20110706,148,600000000,500000000
47232550823972469,20110814,149,280000000,200000000
47232550823972469,20110815,150,260000000,280000000
47302318535715632,20090221,151,3000000000,2500000000
47302318535715632,20091111,152,4000000000,3000000000
47302318535715632,20100726,153,5500000000,4000000000
47302318535715632,20110726,154,8000000000,5500000000
47377315952751604,20090208,155,145000000,90000000
47841327496247362,20110817,156,400000000,200000000
47996917271187218,20100317,157,3000000000,2000000000
47996917271187218,20110327,158,4500000000,3000000000
48287330843249460,20100928,159,648000000,23300000
48287330843249460,20101207,160,8860000,648000000
48623320733330408,20090304,161,202500000,135000000
48623320733330408,20101228,162,303750000,202500000
49703334175145583,20110405,163,633000000,16300000
49776615757150035,20110817,164,4000000000,2000000000
49831372632909204,20101227,165,148500000,13500000
50026314345467725,20101206,166,357491,396482
50100062518826135,20101102,167,100000000,50000000
52009237460328400,20101024,168,16344395,68777172
52172521068334126,20100928,169,160200000,297786587
52172521068334126,20101124,170,49000000,160200000
52220424531578944,20100214,171,300000000,187000000
52232388263291380,20090621,172,5000000000,4000000000
52232388263291380,20110626,173,10000000000,5000000000
52620240501253486,20110424,174,346943,380833
52975109254504632,20090121,175,360000000,120000000
53113471126689455,20101107,176,121500000,60750000
54277068923045214,20110404,177,322000000,92000000
54419429862704331,20110416,178,200000000,100000000
56324206651661881,20091130,179,48000000,60000000
56324206651661881,20110823,180,144000000,48000000
56883298211786806,20110514,181,2449650000,2449000000
56883298211786806,20110521,182,3895000000,2449650000
57086055330734195,20101115,183,81000000,54000000
57639364758870873,20090211,184,67140331,69608496
57722642338781674,20090209,185,97000000,97000024
57722642338781674,20110627,186,388000000,97000000
57731325451718490,20101103,187,396482,321292
57857218314224912,20100830,188,350000000,4900000
57944184894703821,20090819,189,720100000,607200000
57944184894703821,20100717,190,850100000,720100000
57944184894703821,20110904,191,1100100000,850100000
59217041815333317,20091130,192,50000000,34000000
59298826747161711,20110626,193,434186,396507
59463449825542330,20110227,194,386808,376284
59618936359358279,20101222,195,506000000,206000000
59921975187856916,20110419,196,200000000,31080267
60296871243851602,20101107,197,234649000,30880500
60296871243851602,20110118,198,263999899,234649000
60451823714332895,20090630,199,72000000,48000000
60451823714332895,20100707,200,100000000,72000000
60451823714332895,20110503,201,125000000,100000000
60610861509165508,20090512,202,8000000000,5000000000
60610861509165508,20101026,203,10000000000,8000000000
61102694810476197,20110705,204,100000000,40000000
61332057061846617,20110511,205,80000000,60000000
61436127547874135,20090225,206,352200000,7200000
61436127547874135,20090228,207,35200000,352200000
62258804563636993,20091125,208,30000000,15000000
62422436072345198,20090811,209,120960000,80640000
63481599728522324,20090817,210,1006632000,721600000
63481599728522324,20110815,211,1806632000,1006632000
63580313877463104,20110620,212,60000000,40000000
63915926161403347,20090630,213,210000000,105000000
63917421733088077,20100801,214,13568599200,10437384000
63917421733088077,20110827,215,17500000000,13568599200
65108876487170889,20110806,216,3500000000,1750000000
65999092673039059,20110914,217,186753072,93376536
66701874099226162,20100615,218,429000000,195000000
66790687790437196,20110719,219,4000000000,2000000000
67030488744129337,20090419,220,69000000,60000000
67126881188552864,20110511,221,10000000000,7950000000
67206358287598044,20100412,222,96000000,60000000
67422066034966650,20090816,223,200000000,150000000
67422066034966650,20100717,224,250000000,200000000
67988012428906654,20101003,225,200000000,100000000
68117765376081366,20090204,226,383684000,200000000
69090868458637360,20100712,227,42000000,30000000
69090868458637360,20110726,228,57000000,42000000
70131166122617924,20110313,229,160000000,217830215
70270965300262393,20100315,230,400000000,260000000
70270965300262393,20110511,231,600000000,400000000
70270965300262393,20110712,232,400000000,600000000
70270965300262393,20110713,233,600000000,400000000
70289374539527245,20100131,234,266630000,120000000
70849059438036431,20110726,235,125000000,50000000
71744682148776880,20110726,236,600000000,400000000
43622578471330344,20110921,237,363000000,291000000
24018878640527909,20110921,238,5250000000,3500000000
61951543013892913,20110927,239,453765,426488
61951543013892913,20111001,240,460364,453765
68909035712962732,20111010,241,800000000,250000000
49703334175145583,20111010,242,49057000,633000000
9211775239375291,20111011,243,7868405600,7868406000
65883838195688438,20111031,244,8820000000,6300000000
10120557300120078,20111102,245,140000000,70000000
20253580805051293,20111108,246,800000000,100000000
32257753560585502,20111114,247,180000000,120000000
67206358287598044,20111116,248,192000000,96000000
35669480110084448,20111119,249,1800000000,1200000000
53205017282866644,20111120,250,4000000000,3000000000
33293588228706998,20111126,251,13200000000,11000000000
7881099657101647,20111126,252,4000000000,2000000000
60296871243851602,20111126,253,192651459,263999899
3576992542663284,20111127,254,7644000,647860
45446499784751546,20111128,255,112500000,800000000
4733285133017464,20111129,256,2800000000,2000000000
66701874099226162,20111129,257,943800000,429000000
34641719089573667,20111129,258,120000000,60000000
70131166122617924,20111211,259,254999999,160000000
50732326426469382,20111219,260,260000000,200000000
50732326426469382,20111221,261,250000000,260000000
71086267369556869,20111228,262,505522,460364
69569067443305938,20111228,263,567130,460364
33400647129589624,20111228,264,609363,460364
30765727085936322,20111231,265,30000000,20000000
28320293733348826,20120116,266,22906142000,20163600000
43371095177178801,20120116,267,8003380,2898325
