InsCode,InstrumentID,LatinSymbol,LatinName,CompanyCode,Symbol,Name,CIsin,DEven,Flow,LSoc30,CGdSVal,CGrValCot,YMarNSC,CComVal,CSecVal,CSoSecVal,YVal
611986653700161,IRO3SBZZ0001,SBZZ1,Sabzevar Cement,SBZZ,سبزوا,سيمان لار سبزوار,IRO3SBZZ0005,20230819,2,سيمان لار سبزوار,A,1Z,NO,1,53 ,5394,303
651564801186566,IRO3ZF540001,ZF541,Novin Energy,ZF54,پیمانکاری نوین,پيمانكاري انرژي نوين,IRO3ZF540009,20180721,2,پيمانكاري انرژي نوين,A,Z1,NO,5,74 ,7490,303
655060129740445,IRO1OPAL0001,OPAL1,Opal Kani Pars,OPAL,اپال,فرآوري معدني اپال كاني پارس,IRO1OPAL0000,20230819,1,فرآوري معدني اپال كاني پارس,A,N2,NO,5,13 ,1310,300
685553375979058,IRB3SA0100B1,SA1Q1,ArvandOM.MNF220202,SA01,اروند01,منفعت صبا اروند اميد14001113,IRB3SA0100B5,20221212,2,منفعت صبا اروند اميد14001113,A,17,NO,4,69 ,6947,306
726401865204843,IRR1KAVR0101,KAVX1,Iran Khodro D.-R,KAVR,خاورح,ح . ايران‌ خودروديزل‌,IRR1KAVR0102,20171213,1,ايران‌ خودروديزل‌,A,N2,NO,5,34 ,3410,400
751415341879364,IRO1BAKH0001,BAKH1,Bakhtar Cable,BAKH,باختر,كابل‌ باختر,IRO1BAKH0006,20110816,1,كابل‌ باختر,A,N2,NO,5,31 ,3130,300
778253364357513,IRO1BMLT0001,BMLT1,S*Mellat Bank,BMLT,وبملت,بانك ملت,IRO1BMLT0007,20230819,1,بانك ملت,A,N1,NO,1,57 ,5719,300
786234965064488,IRO1NILO0001,NILO1,Nilou Tile,NILO,کنیلو,كاشي‌ نيلو,IRO1NILO0004,20160119,1,كاشي‌ نيلو,A,N2,NO,5,49 ,4993,300
793710053482057,IRO7PYAP0001,PYAP1,Payam Ind.,PYAP,لپیام,گسترش صنايع پيام,IRO7PYAP0008,20230819,4,گسترش صنايع پيام,A,P1,NO,7,32 ,3230,309
796556604064374,IRO3GSMZ0001,GSMZ1,Gheshm Marine,GSMZ,حقشم,دريايي و مهندسي كشتيراني قشم,IRO3GSMZ0005,20230819,2,دريايي و مهندسي كشتيراني قشم,A,Z1,NO,3,61 ,6120,303
823046680072171,IRR1PKRS0101,PKRX1,Pakris Textural-R,PKRS,نپاکح,ح . ريسندگي‌ وبافندگي‌ پاكريس‌,IRR1PKRS0100,20081126,1,ريسندگي‌ وبافندگي‌ پاكريس‌,A,N4,NO,4,17 ,1711,400
831325835570803,IRO7CNAP0001,CNAP1,Namavaran Co.,CNAP,ثنام,س ساختماني ب نام آوران مهندسي,IRO7CNAP0006,20230819,4,س ساختماني ب نام آوران مهندسي,A,P1,NO,7,70 ,7010,309
881618880255065,IRB3SS2499C1,S24Q1,SSI-IJR2-NVN210316,SS24,شستا994,اجاره تامين اجتماعي-نوين991226,IRB3SS2499C9,20221212,2,اجاره شستا-بخش2-نوين13991226,A,17,NO,4,69 ,6910,306
912271202750887,IRO1FPRS0001,FPRS1,Pars Carpet,FPRS,نفرش,فرش‌ پارس‌,IRO1FPRS0005,20081126,1,فرش‌ پارس‌,A,N4,NO,4,17 ,1722,300
917857106093847,IRO3HPRZ0001,HPRZ1,Parsian Oil&Gas,HPRZ,حپارسا,توسعه حمل و نقل ريلي پارسيان,IRO3HPRZ0002,20230819,2,توسعه حمل و نقل ريلي پارسيان,A,1Z,NO,1,60 ,6010,303
971068957336171,IRT3GTYF0001,GTYF1,GarantyGity ETF-QR,GTYF,گارانتی,صندوق تضمين ا.س. گيتي دماوند-م,IRT3GTYF0003,20230611,2,صندوق تضمين اصل سرمايه دماوند,A,T1,NO,4,68 ,6810,305
1010647938388655,IRO7BHPP0001,BHPP1,Behpak Co.,BHPP,بهپاک,صنعتي بهپاك,IRO7BHPP0008,20160417,2,صنعتي بهپاك,A,C1,NO,7,42 ,4214,309
1050751214677134,IRO5PSGS0001,PSGS1,PetroSanat Gameron,PSGS,شگامرن,مجتمع پترو صنعت گامرون,IRO5PSGS0009,20230701,2,مجتمع پترو صنعت گامرون,A,V1,NO,9,44 ,4411,313
1123534346391630,IRX6X28T0006,X28T6,Index Group 28,IDXS,28-محصولات فلزی6,28-محصولات فلزي,IRX6X28T0006,20171212,1,شركت شاخص,I,00,ID,6,X1 ,X1  ,68
1200391996585610,IRO6MELZ97A1,TM121,Melli Mortgage1901,MELZ,تملی710,تسهيلات مسكن ب. ملي-دي97,IRO6MELZ97A0,20230702,2,تسهيلات مسكن بانك ملي ايران,A,M1,NO,4,59 ,5910,307
1241998328504490,IRT3NEHF0001,NEHF1,Neshan ETF,NEHF,نشان,صندوق س. نشان هامرز-د,IRT3NEHF0002,20230709,2,ص.س.د. مختص اوراق دولتي نشان,A,1A,NO,4,68 ,6812,305
1245925241417929,IRO3MSZ91081,MK261,Bank Maskan,MSKZ,تسه9108,امتيازتسهيلات مسكن آبان ماه 91,IRO3MSZ91088,20180721,2,بانك مسكن,A,Z1,NO,4,59 ,5910,303
1277592884769853,IRO1OS230001,OS231,Golestan Inv.,OS23,وسگلستا,شركت س استان گلستان,IRO1OS230007,20230819,1,شركت س استان گلستان,A,N2,NO,5,56 ,5699,300
1301069819790264,IRO3TMMZ0001,TMMZ1,TajaliMines&Metals,TMMZ,تجلی,تجلي توسعه معادن و فلزات,IRO3TMMZ0006,20230819,2,تجلي توسعه معادن و فلزات,A,Z1,NO,3,13 ,1399,303
1305902643160516,IRO3Z0800001,Z0801,Kimiya Investment,Z080,تکیمیا,تامين سرمايه كيميا,IRO3Z0800004,20230117,2,تامين سرمايه كيميا,A,Z1,NO,5,67 ,6719,303
1314853494617240,IRR1KSAD0101,KSAX1,Saadi Tile-R,KSAD,کسعدیح,ح . كاشي‌ سعدي‌,IRR1KSAD0103,20230531,1,كاشي‌ سعدي‌,A,N2,NO,5,49 ,4993,400
1358190916156744,IRO1TAZB0001,TAZB1,Azarbayjan Inv.,TAZB,وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,IRO1TAZB0005,20230819,1,سرمايه‌گذاري‌توسعه‌آذربايجان‌,A,N2,NO,5,70 ,7099,300
1359959101711313,IRO3MSZ92071,MK371,BANK MASKAN,MSKZ,تسه9207,امتياز تسهيلات مسكن مهرماه 92,IRO3MSZ92078,20180721,2,بانك مسكن,A,Z1,NO,4,59 ,5910,303
1438514795814416,IRT1YGHT0001,YGHT1,Yaghoot Agah ETF,YGHT,یاقوت,صندوق س ياقوت آگاه-ثابت,IRT1YGHT0003,20230227,1,صندوق س ياقوت آگاه-ثابت,A,H1,NO,4,68 ,6812,305
1518157759350339,IRR1PMET0101,PMEX1,Parsmetal-R,PMET,فمتالح,ح . پارس‌ متال‌,IRR1PMET0102,20090716,1,پارس‌ متال‌,A,N2,NO,5,27 ,2710,400
1625149423498289,IRO3SMBZ0001,SMBZ1,Sina Marine srv,SMBZ,حسینا,توسعه خدمات دريايي وبندري سينا,IRO3SMBZ0000,20230819,2,توسعه خدمات دريايي وبندري سينا,A,1Z,NO,1,60 ,6003,303
1650287360153383,IRO1AVAN0001,AVAN1,Avangan,AVAN,فاون,آونگان‌,IRO1AVAN0006,20081126,1,آونگان‌,A,N4,NO,4,28 ,2811,300
1723099959084685,IRR1TKIN0101,TKIX1,Techinco-R,TKIN,رتکوح,ح . كنترل‌خوردگي‌تكين‌كو,IRR1TKIN0102,20210530,1,كنترل‌خوردگي‌تكين‌كو,A,N2,NO,5,74 ,7422,400
1771069330721898,IRR7PJHP0101,PJHX1,Jahrom Petro.-R,PJHP,جهرمح,ح.پتروشيمي جهرم,IRR7PJHP0102,20220412,4,پتروشيمي جهرم,A,P1,NO,7,44 ,4411,404
1775538989481366,IRO6MSKZ0051,MZ321,Mortgage Right0005,MSKZ,تسه0005,امتيازتسهيلات مسكن مرداد 1400,IRO6MSKZ0055,20230717,2,بانك مسكن,A,M1,NO,4,59 ,5910,307
1778142796834142,IRO6MELZ9831,TM171,Melli Mortgage1906,MELZ,تملی803,تسهيلات مسكن ب. ملي-خرداد98,IRO6MELZ9838,20230702,2,تسهيلات مسكن بانك ملي ايران,A,M1,NO,4,59 ,5910,307
1806692551822666,IRB3AL010251,AL1Q1,AlborzNr.IJR230805,AL01,البرز02,اجاره ريلي البرزنيرو14020514,IRB3AL010258,20230607,2,تجهيزات ناوگان ريلي البرزنيرو,A,17,NO,4,69 ,6910,306
1808967844081601,IRO3ZF460001,ZF461,Nosaz Services,ZF46,خدمات نوساز,ساختمان و خدمات نوساز,IRO3ZF460000,20220108,2,ساختمان و خدمات نوساز,A,Z1,NO,5,55 ,5510,303
1811292893243712,IRB1QM040001,QM4Q1,Quotes 04,QM04,مظنه4,مظنه پذيره4- اوراق منفعت دولت,IRB1QM040001,20220525,2,مظنه پذيره نويسي اوراق دولتي4,A,18,NO,4,69 ,6946,402
1822787329898392,IRO3CHPZ0001,CHPZ1,Chlor Pars,CHPZ,کلر,كلر پارس,IRO3CHPZ0009,20230819,2,كلر پارس,A,1Z,NO,1,44 ,4411,303
1831214548277647,IRO6MSKZ9831,MZ061,Mortgage Right9803,MSKZ,تسه9803,امتياز تسهيلات مسكن خرداد98,IRO6MSKZ9833,20210630,2,بانك مسكن,A,17,NO,4,59 ,5910,307
1852132120586484,IRR1INDM0101,INDX1,Indamin-R,INDM,خکمکح,ح . كمك‌فنرايندامين‌,IRR1INDM0108,20171213,1,كمك‌فنرايندامين‌,A,N2,NO,5,34 ,3430,400
1860384396424573,IRR1SHSI0101,SHSX1,Sina Chem. Ind.-R,SHSI,شسیناح,ح . صنايع‌شيميايي‌سينا,IRR1SHSI0103,20230111,1,صنايع‌شيميايي‌سينا,A,N1,NO,3,44 ,4411,400
1911343624441437,IRR1OFOG0101,OFOX1,Ofogh Koorosh-R,OFOG,افقح,ح .فروشگاه زنجيره اي افق كوروش,IRR1OFOG0105,20210220,1,فروشگاههاي زنجيره اي افق كوروش,A,N2,NO,5,47 ,4711,400
1931037287459558,IRR1MOTJ0101,MOTX1,Motogen-R,MOTJ,بموتوح,ح . موتوژن‌,IRR1MOTJ0108,20230808,1,موتوژن‌,A,N1,NO,1,31 ,3110,400
1982233425566381,IRB3TB329791,TB321,TreasuryBill181211,TB32,اخزا701,اسنادخزانه-م1بودجه97-970920,IRB3TB329790,20180826,2,اسنادخزانه اسلامي-م1بودجه1397,A,I1,NO,4,69 ,6940,306
2019449432639594,IRT3PDUF0001,PDUF1,Petro Dariush ETF,PDUF,پتروداریوش,صندوق س. بخشي پترو داريوش-ب,IRT3PDUF0004,20230812,2,صندوق س. بخشي پترو داريوش,A,T1,NO,4,68 ,6819,305
2050740941534952,IRR1ALMR0101,ALMX1,Alomrad-R,ALMR,فمرادح,ح . آلومراد,IRR1ALMR0102,20200823,1,آلومراد,A,N2,NO,5,27 ,2720,400
2122354233695079,IRR1SBHN0101,SBHX1,Behbahan Cement-R,SBHN,سبهانح,ح . سيمان‌ بهبهان‌,IRR1SBHN0105,20200610,1,سيمان‌ بهبهان‌,A,N2,NO,5,53 ,5394,400
2135047529277416,IRR3ETLZ0101,ETLX1,Alborz Invest.-R,ETLZ,اعتلاح,ح سرمايه گذاري اعتلاء البرز,IRR3ETLZ0109,20230213,2,شركت سرمايه گذاري اعتلاء البرز,A,Z1,NO,3,56 ,5699,403
2147129961448440,IRO6MELZ97C1,TM141,Melli Mortgage1903,MELZ,تملی712,تسهيلات مسكن ب. ملي-اسفند97,IRO6MELZ97C6,20230702,2,تسهيلات مسكن بانك ملي ايران,A,M1,NO,4,59 ,5910,307
2149279845014433,IRR1FGMS0101,FGMX1,Mashad Food-R,FGMS,غمشهدح,ح . فرآورده‌هاي‌ غذايي‌ مشهد,IRR1FGMS0103,20081126,1,فرآورده‌هاي‌ غذايي‌ مشهد,A,N4,NO,4,42 ,4299,400
2161110547458064,IRT3SEDF0001,SEDF1,Sepid Damavand ETF,SEDF,سپیدما,صندوق س. سپيد دماوند-د,IRT3SEDF0001,20230702,2,صندوق س. سپيد دماوند,A,1A,NO,4,68 ,6812,305
2254054929817435,IRO1KDPS0001,KDPS1,P. Animal Feed,KDPS,غدام,خوراك‌  دام‌ پارس‌,IRO1KDPS0004,20230819,1,خوراك‌ دام‌ پارس‌,A,N2,NO,5,42 ,4233,300
2262715289665960,IRR1RADI0101,RADX1,Iran Radiator-R,RADI,ختورح,ح . رادياتور ايران‌,IRR1RADI0108,20230419,1,رادياتور ايران‌,A,N1,NO,3,34 ,3430,400
2318736941376687,IRO7SDRP0001,SDRP1,SADRA,SDRP,خصدرا,صنعتي‌ دريايي‌ ايران‌,IRO7SDRP0001,20230819,4,صنعتي‌ دريايي‌ ايران‌,A,P1,NO,7,45 ,4520,309
2328862017676109,IRO1SPAH0001,SPAH1,Sepah Inv.,SPAH,وسپه,سرمايه‌گذاري‌ سپه‌,IRO1SPAH0002,20230819,1,سرمايه‌گذاري‌ سپه‌,A,N1,NO,1,56 ,5699,300
2334276998450282,IRR7MILP0101,MILX1,Ahan&Folad Co-R,MILP,بمیلاح,ح.توسعه سرمايه گذاري ميلادپارس,IRR7MILP0100,20230131,4,توسعه سرمايه گذاري ميلاد پارس,A,P1,NO,7,46 ,4610,404
2362491091971813,IRR1TMEL0101,TMEX1,Tosee Melli Inv-R,TMEL,وتوسمح,ح . سرمايه‌گذاري‌توسعه‌ملي‌,IRR1TMEL0106,20171213,1,سرمايه‌گذاري‌توسعه‌ملي‌,A,N1,NO,3,56 ,5699,400
2400322364771558,IRO1TAMN0001,TAMN1,Social Sec Inv,TAMN,شستا,سرمايه گذاري تامين اجتماعي,IRO1TAMN0006,20230819,1,سرمايه گذاري تامين اجتماعي,A,N2,NO,5,39 ,3999,300
2427436944707298,IRO7KISP0001,KISP1,IRAN KISH,KISP,رکیش,كارت اعتباري ايران كيش,IRO7KISP0003,20120115,2,كارت اعتباري ايران كيش,A,P1,NO,7,72 ,7220,309
2432718060936300,IRO1SAKH0201,SK021,Iran Const. Inv2,SAKH,وساخت عمده2,س. ساختمان ايران عمده2,IRO1SAKH0205,20230819,1,سرمايه گذاري ساختمان ايران,A,91,NO,1,70 ,7099,300
2434703913394836,IRO1DMOR0001,DMOR1,Dasht Morghab,DMOR,غدشت,دشت‌ مرغاب‌,IRO1DMOR0004,20230819,1,دشت‌ مرغاب‌,A,N2,NO,5,42 ,4213,300
2436557798493124,IRR1SNGH0101,SNGX1,Naghshiran Grp.-R,SNGH,ننقشح,ح . گروه‌ صنعتي‌ نقش‌ ايران‌,IRR1SNGH0100,20081126,1,گروه‌ صنعتي‌ نقش‌ ايران‌,A,N4,NO,4,17 ,1722,400
2501017203331667,IRR1DPAK0101,DPAX1,Daroupakhsh P.-R,DPAK,داروح,ح . كارخانجات‌داروپخش,IRR1DPAK0106,20230111,1,كارخانجات‌داروپخش‌,A,N2,NO,5,43 ,4323,400
2512214120008228,IRO1FSIN0001,FSIN1,Investment Sina,FSIN,سینا,مالي و سرمايه گذاري سينا,IRO1FSIN0008,20230819,1,مالي و سرمايه گذاري سينا,A,N2,NO,5,39 ,3999,300
2589887561569709,IRO1ZMYD0001,ZMYD1,Zamyad,ZMYD,خزامیا,زامياد,IRO1ZMYD0002,20230819,1,زامياد,A,N2,NO,5,34 ,3410,300
2696258159590598,IRT3VC120001,VC121,Yek Pishgam VCF-VR,VC12,پیشگام,ص.ج.رشد يكم پيشگام 50%تاديه,IRT3VC120006,20230515,2,ص.س.جسورانه رشد يكم پيشگام,A,T1,NO,4,68 ,6815,305
2705253775088582,IRR1SHPZ0101,SHPX1,W. Azar. Pegah-R,SHPZ,غشاذرح,ح . ‌پگاه‌آذربايجان‌غربي‌,IRR1SHPZ0105,20200929,1,‌پگاه‌آذربايجان‌غربي‌,A,N1,NO,3,42 ,4220,400
2736448581569857,IRB3DS010651,DS011,DSanko MRB 270821,DS01,دسانکو06,مرابحه سبحان انكولوژي060530,IRB3DS010654,20230821,2,مرابحه داروسازي سبحان انكولوژي,A,17,NO,4,69 ,6911,306
2786094660320231,IRR3PMTZ0101,PMTX1,Maskan Invest.-R,PMTZ,ثترانح,ح سرمايه گذاري مسكن تهران,IRR3PMTZ0105,20210828,2,سرمايه گذاري مسكن تهران,A,Z1,NO,3,70 ,7010,403
2819110578357790,IRR1SSOF0101,SSOX1,Soufian Cement-R,SSOF,سصوفیح,ح . سيمان‌ صوفيان‌,IRR1SSOF0107,20200216,1,سيمان‌ صوفيان‌,A,N1,NO,1,53 ,5394,400
2855515398698068,IRR1MRIN0101,MRIX1,Iranmerinos-R,MRIN,نمرینوح,ح . ايران‌ مرينوس‌,IRR1MRIN0102,20230809,1,ايران‌ مرينوس‌,A,61,NO,5,17 ,1711,400
2888358730233310,IRB3SI2399B1,I23Q1,SOV.IJR2-MLT210206,SI23,اجاد23,اجاره دولتي آپرورش-ملت991118,IRB3SI2399B4,20221212,2,اجاره دولتي آپرورش-ملت991118,A,17,NO,4,69 ,6942,306
2892746204060110,IRR3AFRZ0101,AFRX1,Afra Net Co. -R,AFRZ,افراح,ح. افرانت,IRR3AFRZ0103,20220828,2,افرانت,A,1Z,NO,1,72 ,7200,403
2929948497881810,IRB3SI2599B1,I25Q1,SOV.IJR2-SPH210206,SI25,اجاد25,اجاره دولتي آپرورش-سپهر991118,IRB3SI2599B9,20221212,2,اجاره دولتي آپرورش-سپهر991118,A,17,NO,4,69 ,6942,306
2944500421562364,IRO1TOSA0001,TOSA1,Iran Ind. Dev.,TOSA,وتوصا,گروه س توسعه صنعتي ايران,IRO1TOSA0009,20230819,1,گروه س توسعه صنعتي ايران,A,N1,NO,1,56 ,5699,300
2950378541189013,IRO3KNRZ0001,KNRZ1,Saba Noor,KNRZ,کنور,تأمين مواد اوليه فولاد صبانور,IRO3KNRZ0009,20140125,2,تأمين مواد اوليه فولاد صبانور,A,Z1,NO,1,13 ,1310,303
3019817952865782,IRB3TB750291,TB751,TreasuryBill231127,TB75,اخزا821,اسنادخزانه-م21بودجه98-020906,IRB3TB750292,20220906,2,اسنادخزانه اسلامي-م21بودجه1398,A,I1,NO,4,69 ,6940,306
3037464497437282,IRR1SKER0101,SKEX1,Kerman Cement-R,SKER,سکرماح,ح . سيمان‌ كرمان‌,IRR1SKER0103,20180101,1,سيمان‌ كرمان‌,A,N1,NO,1,53 ,5394,400
3050342257199174,IRO7NJSP0001,NJSP1,Naghsh Jahan Sugar,NJSP,قنقش,قند نقش جهان,IRO7NJSP0009,20230819,4,قند نقش جهان,A,P1,NO,7,38 ,3842,309
3050805371360862,IRR3ETKZ0101,ETKX1,Iranian Etekai-R,ETKZ,اتکایح,ح . بيمه اتكايي ايرانيان,IRR3ETKZ0100,20210918,2,بيمه اتكايي ايرانيان,A,Z1,NO,3,66 ,6603,403
3083005592739412,IRO5UWCS0001,UWCS1,Urumieh WHT.Cement,UWCS,سفاروم,سيمان سفيد اروميه,IRO5UWCS0000,20180721,2,سيمان سفيد اروميه,A,V1,NO,9,53 ,5394,313
3149396562827132,IRO1LIRZ0001,LIRZ1,Iranian Lizing,LIRZ,وایران,ليزينگ ايرانيان,IRO1LIRZ0007,20230819,1,ليزينگ ايرانيان,A,N1,NO,1,58 ,5891,300
3164894984700505,IRR3ISLZ0101,ISLX1,Iran & hargh Lsg-R,ISLZ,ولشرقح,ح . ليزينگ ايران و شرق,IRR3ISLZ0106,20230502,2,ليزينگ ايران و شرق,A,16,NO,1,58 ,5891,403
3173544097113770,IRO7STNP0001,STNP1,Golestan Petro.,STNP,شستان,پتروشيمي گلستان,IRO7STNP0007,20230819,4,پتروشيمي گلستان,A,C1,NO,7,44 ,4411,309
3203898026678865,IRB3ID0105C1,ID011,IDM MRB270313,ID01,صنایع ایران05,مرابحه قطعات صنايع14051222,IRB3ID0105C7,20230607,2,طراحي و ساخت قطعات صنايع ايران,A,17,NO,4,69 ,6911,306
3231489895425696,IRR3NPSZ0101,NPSX1,NPSZ-R,NPSZ,شپاسح,ح . نفت پاسارگاد,IRR3NPSZ0105,20180721,2,نفت پاسارگاد,A,Z1,NO,3,23 ,2308,403
3236505307755709,IRO3ZF890001,ZF891,Iran Reno. Co.,ZF89,نوسازی صنایع,نوسازي صنايع ايران,IRO3ZF890008,20180721,2,نوسازي صنايع ايران,A,Z1,NO,5,45 ,4521,303
3329167699100936,IRT3VC060001,VC061,RetirementT VCF-VR,VC06,فنابا,ص.س.ج. فناوري بازنشستگي,IRT3VC060004,20230515,2,ص.س.جسورانه فناوري بازنشستگي,A,T1,NO,4,68 ,6815,305
3362850293262749,IRR1DALZ0101,DALX1,Alborz Darou-R,DALZ,دالبرح,ح . البرزدارو,IRR1DALZ0103,20221129,1,البرزدارو,A,N1,NO,1,43 ,4323,400
3370493881245014,IRO6MSKZ98B1,MZ141,Mortgage Right9811,MSKZ,تسه9811,امتياز تسهيلات مسكن بهمن98,IRO6MSKZ98B8,20230717,2,بانك مسكن,A,M1,NO,4,59 ,5910,307
3388451018224720,IRR1PELC0101,PELX1,Pars Electric-R,PELC,لپارسح,ح . پارس‌ الكتريك‌,IRR1PELC0102,20171213,1,پارس‌ الكتريك‌,A,N2,NO,5,32 ,3230,400
3407806799514469,IRO3URPZ0001,URPZ1,UrmiaPetrochemical,URPZ,شاروم,پتروشيمي اروميه,IRO3URPZ0005,20230819,2,پتروشيمي اروميه,A,1Z,NO,1,44 ,4412,303
3414440373850933,IRO7SNVP0001,SNVP1,Tamin Maskan Co,SNVP,ثنوین,تامين مسكن نوين,IRO7SNVP0003,20180721,2,تامين مسكن نوين,A,P1,NO,7,70 ,7010,309
3426578415893871,IRR7PKBP0101,PKBX1,Amir Kabir Co.-R,PKBP,شکبیرح,ح.پتروشيمي اميركبير,IRR7PKBP0105,20190908,4,پتروشيمي اميركبير,A,P1,NO,7,44 ,4411,404
